Mean	Edge	Peak	median	beta	SINR	Fairness
-31.95	-83.21	-45.60	3.02	0.01	14.75	0.70
-31.94	-83.01	-45.68	2.77	0.01	15.00	0.71
-31.88	-82.16	-47.07	1.14	0.01	15.25	0.72
-31.87	-83.77	-44.15	4.38	0.01	14.50	0.69
-31.85	-80.75	-48.30	0.35	0.01	15.50	0.74
-31.69	-79.16	-49.21	-0.75	0.01	15.75	0.76
-31.63	-77.34	-50.59	-1.76	0.01	16.25	0.78
-31.58	-78.68	-49.23	-1.20	0.01	16.00	0.77
-31.52	-74.95	-51.32	-1.77	0.01	16.50	0.79
-31.39	-74.95	-51.85	-2.04	0.01	16.75	0.80
-31.39	-74.67	-52.03	-2.38	0.01	17.00	0.80
-31.26	-74.30	-52.24	-2.68	0.01	17.25	0.81
-31.16	-73.52	-52.20	-3.12	0.01	17.50	0.81
-31.15	-67.03	-53.79	-5.46	0.01	18.00	0.84
-31.15	-64.79	-54.31	-5.45	0.01	18.50	0.85
-31.13	-66.11	-54.50	-5.54	0.01	18.25	0.85
-31.10	-63.64	-54.28	-6.09	0.01	18.75	0.85
-31.09	-70.41	-53.81	-4.62	0.01	17.75	0.84
-30.99	-63.00	-54.75	-7.29	0.01	19.00	0.86
-30.89	-57.45	-54.92	-8.38	0.01	19.25	0.88
-30.86	-51.81	-56.27	-8.06	0.01	19.75	0.89
-30.84	-44.32	-57.11	-8.72	0.01	20.00	0.90
-30.78	-55.86	-55.07	-8.81	0.01	19.50	0.88
-30.72	-42.21	-57.51	-8.74	0.01	20.25	0.90
-30.47	18.95	-58.16	-12.02	0.01	21.50	0.94
-30.43	-29.40	-57.15	-10.34	0.01	20.50	0.91
-30.38	-18.10	-57.17	-10.66	0.01	21.00	0.92
-30.34	-18.40	-57.17	-10.53	0.01	20.75	0.92
-30.29	-15.86	-57.56	-10.67	0.01	21.25	0.92
-30.10	36.47	-58.58	-12.00	0.01	21.75	0.94
-30.03	52.01	-58.22	-12.10	0.01	22.00	0.95
-30.02	91.57	-58.50	-13.28	0.01	22.50	0.96
-29.93	85.10	-58.14	-12.88	0.01	22.25	0.95
-29.80	-52.13	-39.78	6.08	0.04	11.75	0.70
-29.65	-47.80	-40.84	4.97	0.04	12.50	0.71
-29.63	-50.26	-41.18	6.92	0.04	12.25	0.71
-29.62	-49.53	-40.35	5.90	0.04	12.00	0.71
-29.55	-47.32	-40.84	5.06	0.04	12.75	0.72
-29.38	-46.10	-40.42	4.50	0.04	13.00	0.73
-29.35	-39.19	-43.49	1.50	0.04	13.75	0.76
-29.29	-40.34	-43.29	4.21	0.04	13.50	0.75
-29.24	-43.96	-41.34	4.77	0.04	13.25	0.74
-29.21	-38.45	-43.64	0.94	0.04	14.00	0.76
-29.16	-36.66	-44.70	0.98	0.04	14.25	0.77
-29.08	-32.37	-46.15	0.83	0.04	14.50	0.78
-29.00	-24.18	-48.36	-1.39	0.04	15.25	0.82
-28.97	-29.50	-47.00	0.36	0.04	14.75	0.79
-28.89	-27.63	-47.09	-0.55	0.04	15.00	0.80
-28.63	-18.86	-49.25	-1.39	0.04	15.50	0.83
-28.38	-11.33	-50.62	-3.04	0.04	15.75	0.85
-28.36	-42.90	-37.11	-1.99	0.07	10.50	0.70
-28.20	-11.51	-50.72	-4.50	0.04	16.00	0.86
-28.09	-34.58	-38.74	0.89	0.07	11.00	0.72
-28.05	-35.85	-38.15	0.77	0.07	10.75	0.71
-27.99	-5.55	-50.94	-4.75	0.04	16.25	0.87
-27.84	2.81	-52.54	-5.52	0.04	16.75	0.89
-27.82	1.34	-52.38	-5.12	0.04	16.50	0.88
-27.79	6.68	-52.94	-5.70	0.04	17.00	0.89
-27.71	7.81	-53.13	-6.12	0.04	17.25	0.89
-27.59	8.77	-52.59	-6.35	0.04	17.50	0.89
-27.50	27.15	-53.60	-6.70	0.04	17.75	0.90
-27.42	-30.95	-39.07	2.27	0.07	11.25	0.74
-27.35	29.06	-53.76	-6.63	0.04	18.00	0.91
-27.26	-35.23	-32.58	-15.85	0.10	9.50	0.69
-27.25	-34.38	-32.63	-21.77	0.10	9.25	0.69
-27.18	-26.18	-41.40	3.09	0.07	11.50	0.76
-27.15	36.56	-54.73	-7.89	0.04	18.75	0.92
-27.11	35.60	-53.85	-7.10	0.04	18.50	0.91
-27.08	36.56	-53.57	-7.03	0.04	18.25	0.91
-27.00	-18.77	-42.46	3.70	0.07	11.75	0.78
-26.92	-16.33	-43.63	2.95	0.07	12.25	0.79
-26.88	-18.47	-42.74	2.95	0.07	12.00	0.78
-26.85	-16.03	-43.30	3.46	0.07	12.50	0.79
-26.84	-15.22	-42.98	1.50	0.07	12.75	0.79
-26.81	-13.68	-42.49	1.66	0.07	13.00	0.80
-26.80	41.31	-54.82	-7.62	0.04	19.00	0.92
-26.73	-31.15	-34.35	-11.78	0.10	9.75	0.72
-26.68	65.44	-53.85	-9.42	0.04	19.25	0.93
-26.64	-3.66	-43.74	1.25	0.07	13.25	0.82
-26.63	72.28	-53.85	-9.60	0.04	19.50	0.93
-26.61	88.74	-54.84	-9.93	0.04	19.75	0.93
-26.51	-28.53	-34.80	-7.96	0.10	10.00	0.73
-26.47	122.36	-56.98	-13.51	0.04	22.25	0.90
-26.46	1.47	-45.32	-0.23	0.07	13.50	0.83
-26.43	121.53	-57.53	-13.51	0.04	22.50	0.89
-26.36	5.41	-45.35	-0.38	0.07	13.75	0.84
-26.33	4.56	-45.48	-1.90	0.07	14.00	0.84
-26.29	97.61	-55.54	-9.81	0.04	20.00	0.93
-26.24	125.35	-57.53	-13.16	0.04	22.00	0.90
-26.23	97.05	-55.81	-10.18	0.04	20.25	0.93
-26.21	115.22	-56.40	-12.64	0.04	21.50	0.91
-26.17	-30.67	-28.94	-37.47	0.13	8.00	0.69
-26.15	9.00	-46.81	-2.51	0.07	14.25	0.85
-26.14	-22.93	-36.05	-5.89	0.10	10.25	0.74
-26.14	111.14	-56.64	-11.34	0.04	21.00	0.92
-26.13	16.76	-47.37	-2.73	0.07	14.50	0.86
-26.07	119.55	-56.31	-12.89	0.04	21.75	0.91
-26.06	108.61	-55.42	-10.99	0.04	20.50	0.92
-26.04	108.04	-57.09	-11.32	0.04	21.25	0.91
-26.00	21.71	-48.65	-3.50	0.07	14.75	0.87
-25.95	-28.32	-29.49	-35.64	0.13	8.25	0.70
-25.89	23.58	-48.23	-2.90	0.07	15.00	0.87
-25.83	111.14	-56.55	-11.27	0.04	20.75	0.91
-25.76	-13.82	-38.19	-3.80	0.10	10.50	0.76
-25.68	30.58	-49.44	-3.02	0.07	15.25	0.88
-25.57	-22.96	-30.58	-28.49	0.13	8.50	0.72
-25.53	-12.18	-38.54	-3.58	0.10	10.75	0.77
-25.45	-22.75	-30.39	-24.73	0.13	8.75	0.72
-25.43	40.00	-50.36	-4.28	0.07	15.50	0.89
-25.36	-9.46	-39.53	-3.05	0.10	11.00	0.78
-25.12	51.81	-51.81	-4.95	0.07	15.75	0.91
-25.05	-1.34	-40.87	-1.73	0.10	11.25	0.80
-24.95	-20.63	-33.65	-18.40	0.13	9.00	0.74
-24.88	-24.36	-27.69	-31.88	0.16	7.50	0.70
-24.83	52.34	-51.84	-5.93	0.07	16.00	0.91
-24.81	-11.49	-34.23	-14.08	0.13	9.25	0.75
-24.74	-11.49	-34.23	-13.33	0.13	9.50	0.75
-24.66	7.51	-43.43	-0.48	0.10	11.50	0.83
-24.56	64.75	-51.83	-6.19	0.07	16.25	0.90
-24.43	19.50	-44.26	0.01	0.10	11.75	0.84
-24.40	76.05	-53.48	-6.43	0.07	16.50	0.90
-24.34	-6.33	-36.64	-9.37	0.13	9.75	0.78
-24.32	-19.85	-28.28	-27.51	0.16	7.75	0.72
-24.27	76.31	-52.92	-6.18	0.07	17.00	0.91
-24.24	25.03	-44.82	-0.16	0.10	12.00	0.85
