Mean	Edge	Peak	median	beta	SINR	Fairness
0.00	0.00	0.00	0.00	1.00	-2.00	0.69
0.06	92.68	27.94	-16.77	0.25	17.00	0.50
0.08	120.24	-7.69	-4.08	0.31	13.50	0.77
0.12	131.91	-19.91	6.95	0.43	8.50	0.85
0.14	126.06	-19.84	4.45	0.37	10.50	0.83
0.14	100.97	-17.10	10.08	0.52	6.25	0.84
0.14	93.07	-16.96	9.30	0.55	5.75	0.82
0.17	91.94	61.96	-24.36	0.22	19.50	0.36
0.22	73.94	-14.59	5.51	0.64	4.25	0.80
0.23	82.78	-15.67	8.77	0.58	5.25	0.81
0.39	88.42	67.04	-24.68	0.22	19.75	0.35
0.47	73.45	-13.37	2.65	0.67	3.75	0.78
0.48	84.87	95.16	-28.14	0.22	21.00	0.27
0.49	121.05	-19.47	7.60	0.46	7.75	0.85
0.55	123.44	-17.47	3.54	0.37	10.75	0.82
0.56	126.46	-18.87	6.51	0.43	8.75	0.84
0.56	18.83	-0.02	-0.73	0.88	0.75	0.71
0.58	32.24	-2.26	-3.39	0.82	1.50	0.73
0.61	125.33	-17.80	6.79	0.40	9.75	0.84
0.62	109.21	-19.93	9.53	0.49	7.00	0.83
0.63	84.30	-15.97	6.48	0.61	4.75	0.81
0.65	66.43	-10.20	4.28	0.70	3.00	0.75
0.65	1.68	0.82	0.30	1.00	-1.50	0.69
0.68	105.20	7.56	-13.87	0.28	15.50	0.62
0.69	81.10	70.62	-28.10	0.22	21.25	0.25
0.70	127.26	-10.75	0.10	0.34	11.75	0.80
0.71	82.89	65.65	-25.91	0.22	20.00	0.34
0.72	117.78	-0.77	-6.29	0.31	13.75	0.74
0.72	105.43	-16.78	9.14	0.52	6.50	0.84
0.74	7.14	-0.25	-0.31	0.97	-0.75	0.70
0.76	86.53	31.73	-18.87	0.25	17.25	0.43
0.78	1.11	1.40	-0.46	1.00	-1.25	0.69
0.80	111.31	3.07	-6.98	0.31	14.00	0.73
0.94	62.68	-9.78	1.05	0.73	2.50	0.75
0.98	87.06	30.33	-18.87	0.25	17.50	0.42
0.99	121.83	-14.50	3.27	0.37	11.00	0.81
1.00	18.19	1.14	-0.87	0.91	0.25	0.70
1.03	67.40	-10.20	2.54	0.70	3.25	0.75
1.04	16.72	0.45	1.44	0.94	0.00	0.70
1.13	29.20	-0.52	-1.87	0.85	1.00	0.72
1.19	38.41	-1.69	-1.43	0.82	1.75	0.73
1.23	125.74	-9.88	-0.82	0.34	12.00	0.79
1.30	126.64	-17.39	5.87	0.43	9.00	0.84
1.31	91.99	-14.38	7.38	0.58	5.50	0.81
1.33	9.23	0.15	-1.71	0.97	-0.50	0.69
1.33	125.74	-9.88	-1.14	0.34	12.25	0.79
1.34	40.27	-2.65	0.78	0.79	2.00	0.73
1.34	85.59	70.68	-26.24	0.22	20.25	0.30
1.42	44.97	-5.48	0.50	0.76	2.25	0.74
1.42	98.76	-15.91	8.27	0.55	6.00	0.82
1.45	78.24	-10.78	3.84	0.67	4.00	0.79
1.47	106.47	-16.67	6.99	0.52	6.75	0.83
1.49	126.09	-17.85	4.91	0.46	8.00	0.84
1.50	117.41	-15.58	4.11	0.40	10.00	0.82
1.60	31.50	-0.52	-0.41	0.85	1.25	0.72
1.63	124.11	-4.21	-1.20	0.34	12.50	0.78
1.64	65.71	98.44	-33.00	0.25	22.00	0.17
1.65	110.96	-17.79	6.63	0.49	7.25	0.83
1.66	111.60	9.11	-7.92	0.31	14.25	0.72
1.68	73.84	-9.64	1.76	0.70	3.50	0.77
1.72	15.10	1.75	1.81	0.91	0.50	0.70
