Mean	Edge	Peak	median	beta	SINR	Fairness
-45.04	-85.44	-54.38	-34.83	0.01	17.75	0.79
-44.46	-92.72	-51.64	-30.39	0.01	16.25	0.74
-44.25	-90.45	-50.30	-31.16	0.01	16.50	0.74
-44.23	-85.84	-53.78	-32.42	0.01	17.50	0.76
-44.20	-88.84	-50.91	-31.65	0.01	16.75	0.75
-43.93	-84.22	-50.53	-34.60	0.01	18.25	0.78
-43.86	-79.76	-54.00	-33.75	0.01	18.75	0.80
-43.84	-79.29	-53.12	-35.57	0.01	19.00	0.80
-43.83	-79.29	-52.88	-34.60	0.01	18.50	0.79
-43.82	-70.89	-54.65	-36.00	0.01	20.00	0.84
-43.80	-72.64	-53.83	-35.66	0.01	19.75	0.82
-43.76	-78.16	-52.51	-33.71	0.01	19.25	0.82
-43.74	-86.64	-51.70	-30.93	0.01	17.00	0.75
-43.68	-85.44	-50.35	-33.96	0.01	17.25	0.75
-43.57	-41.30	-53.82	-37.30	0.01	21.50	0.86
-43.57	-77.34	-53.84	-35.66	0.01	19.50	0.82
-43.51	-24.79	-56.49	-37.53	0.01	21.75	0.88
-43.47	-56.33	-55.46	-36.49	0.01	20.75	0.86
-43.42	-8.58	-55.04	-38.21	0.01	22.25	0.88
-43.40	-56.33	-55.39	-35.49	0.01	21.00	0.86
-43.35	-66.83	-54.92	-35.50	0.01	20.25	0.84
-43.30	-83.02	-52.51	-31.90	0.01	18.00	0.79
-43.17	-62.78	-54.80	-35.57	0.01	20.50	0.85
-43.16	-57.13	-55.27	-36.57	0.01	21.25	0.85
-42.98	-61.18	-50.13	-32.82	0.04	15.50	0.77
-42.93	-16.81	-55.41	-37.67	0.01	22.00	0.87
-42.84	-0.75	-54.17	-38.66	0.01	22.50	0.88
-42.53	-70.89	-48.26	-30.93	0.04	14.50	0.74
-42.27	-68.08	-49.46	-30.99	0.04	15.25	0.77
-42.21	-69.23	-49.40	-30.28	0.04	15.00	0.75
-42.11	-68.43	-46.53	-29.90	0.04	14.75	0.74
-41.98	-53.90	-51.62	-32.84	0.04	16.00	0.81
-41.85	-49.17	-52.53	-32.74	0.04	16.25	0.82
-41.68	-56.45	-49.29	-32.74	0.04	15.75	0.80
-41.31	-45.57	-50.25	-34.60	0.04	16.50	0.81
-41.11	-41.95	-53.06	-32.60	0.04	17.00	0.84
-41.07	-45.67	-53.20	-34.66	0.04	17.50	0.83
-41.01	-31.02	-54.65	-34.57	0.04	17.75	0.85
-41.00	5.38	-52.65	-38.41	0.04	22.25	0.85
-40.94	-48.55	-52.81	-32.40	0.04	16.75	0.84
-40.90	-26.54	-52.89	-35.57	0.04	18.00	0.86
-40.86	-21.46	-54.92	-34.30	0.04	18.50	0.86
-40.86	3.50	-53.27	-38.66	0.04	22.50	0.84
-40.77	1.20	-54.95	-37.32	0.04	20.75	0.86
-40.75	-22.54	-55.06	-34.45	0.04	18.25	0.87
-40.68	-19.68	-52.74	-35.57	0.04	18.75	0.86
-40.67	3.78	-53.81	-38.15	0.04	21.75	0.86
-40.63	-54.85	-44.83	-29.82	0.07	12.50	0.75
-40.54	-40.37	-51.88	-33.73	0.04	17.25	0.83
-40.48	4.23	-54.98	-34.98	0.04	20.00	0.88
-40.46	7.88	-52.71	-37.43	0.04	21.50	0.86
-40.44	-11.76	-52.74	-35.09	0.04	19.25	0.87
-40.43	4.93	-56.10	-35.49	0.04	21.00	0.87
-40.33	0.68	-53.17	-36.49	0.04	20.50	0.86
-40.32	-3.23	-54.02	-35.02	0.04	19.75	0.87
-40.29	-54.00	-45.11	-31.76	0.07	12.25	0.75
-40.29	-11.71	-53.31	-34.83	0.04	19.00	0.86
-40.28	3.03	-53.97	-35.68	0.04	21.25	0.86
-40.26	-42.65	-47.28	-32.74	0.07	13.75	0.80
-40.20	-4.63	-53.10	-35.57	0.04	19.50	0.87
